review_seq,total_score,review_content,reg_date,images,writer_display_name
2589885,5.0,"I had a lunch set They were kind, the atmosphere was good, and the taste was delicious I liked the combination of salmon butter and galbi ragu pasta Especially, galbi ragu suited my boyfriend and me! After eating ragu pasta and lemon butter, I felt good because it was full of fresh and fragrant scents Of course, other salads and steaks were impeccably good dishes. Please visit us once and have a good meal",2024-03-31 18:15:27,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/bc8cb732df7d4e98b59c86b21fadd6a8, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/9a1eb341f0aa4a2ab486b00ef0086a8e, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/295b68599aea44c29954209df923ceb7, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/d150ba955b414aad9a2c14ba65cbdda4, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/2d3b1606e9a0438a9f9fb1af0d7a5c42",지혜로운 개척가_41340
2586921,4.5,"The food was more delicious than I expected.
I ordered not only pasta but also gnocchi and steak, but I think all the food here is delicious! It was a very, very satisfying dinner!
The restaurant was generally not noisy and the terrace was open, so the atmosphere of the restaurant was pretty.
I recommend it for girls' friends' birthdays and lovers' dates!
I visited a place I've wanted to go for a long time, but I feel more ethnic than expected, so I'm leaving a review for the first time in a long time!",2024-03-30 19:25:44,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/147d650d336849179d34a91bad0fb1a8, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/8682cbdba1ea416eb52c2fa458b3be00, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/93634299e1b24cd0af94d6451907c94c, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/4cf844da696847b7b8e70562bc438e2f, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/6156143d056a49f08400fc115566b07e, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/4152cb6d47b14ef38fa345237c26c3fe",씩씩한 식도락가_52283
2584861,5.0,Each menu was distinctive and delicious! The view was pretty and the atmosphere of the store was so nice. Great bonus that the price for quality is very reasonable! It's a place where I want to come back not only with my lover but also with my friends,2024-03-29 22:42:43,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/21c45b681d4a460da396ef1227a6e3d1, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/c5ed92015022417eb065f8c957c7e5e9, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/afe21ca5bd214d7ea28412ab7ad77948, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/33cb07c5ad3446248ac9434c298bf215, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/5c5dd42609384708b0a01d73710e66a3, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/5707c5aa1adf4b27a0c4eba953a54610, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/f82aa078a55447f4a6fc7f18ec05f200",sae****
2594741,5.0,"I was looking forward to it because it was a Michelin restaurant, but it was more delicious than I expected!! The atmosphere is so nice, and I went during the day and I think the atmosphere in the evening would be nice, so I want to go again! 
I don't live in Seoul, but I love raw noodles pasta and everything I ate here was delicious, so it was so delicious that I wanted to come back to Seoul to eat this!Haha 
I usually prefer not to have strong seasoning, but it's my first time there and I wanted to try the original one, so I ate it the original one, but I want to try it less salty next time :)",2024-04-02 12:58:16,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/9964905c75404755bd301ac563e589e1, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/8f0a8225494a4993bda092880bcaa79b, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/89566f80b6ee4e308481323b87b372a3",위트있는 맛사냥꾼_4785
1773831,5.0,"Not only the atmosphere and taste, but also the joy of seeing it with your eyes. :)
Now that I can control my liver strength, I was personally more satisfied!
I think I had a great dinner with my friends because they recommended wine that goes well with each food!!
I think I'll be back next time 🫶",2023-05-22 22:43:32,"https://image.toast.com/aaaaaqx/rv/s7Agu-DWOBS3tEKBkEHyeRA/230522223903924(0).jpeg, https://image.toast.com/aaaaaqx/rv/s7Agu-DWOBS3tEKBkEHyeRA/230522223903925(1).jpeg, https://image.toast.com/aaaaaqx/rv/s7Agu-DWOBS3tEKBkEHyeRA/230522223903925(2).jpeg, https://image.toast.com/aaaaaqx/rv/s7Agu-DWOBS3tEKBkEHyeRA/230522223943531(0).jpeg",도대체별명은
1098335,4.7,"The weather is good, the view is good, the taste is good, and it's hard to find because it's in the corner, but egg and flower that had a good flavor unique to raw pasta 😳",2022-11-19 20:15:58,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426990(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426991(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426991(2).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426991(3).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426991(4).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221119201426991(5).jpeg",미식가마멜
1034915,3.5,"I had lunch
I ordered homemade carpreje platter, red shrimp ink capellini, Iberico bone sirloin steak, prime salchis steak, tiramisu, lemon tiramisu, house wine, and cider
The atmosphere was good. I think it's a good place for a date. I want you to clean up the garbage (waste paper, finished cider cans) that is generated while eating. It's not sensible to just serve the food every time it comes out in the order of appetizer, main dish, and dessertI thought, he put water in a green bottle, but he never brought it to me until I finished drinking it. The service was very disappointing and there was a hassle of having to ask for it one by one. Even so, the water was collected in one place, but it was really uncomfortable to keep the house intact. Moving on to the taste of food
As an appetizer, Homemade Caprese Platter was delicious because it was a good combination of bread, ricotta cheese, basil pesto, and fresh sweet tomatoes. My sister is a high school girl and it's the bestThat's what he said
The red shrimp capellini tasted like eating spaghetti noodles in galbitang. It felt bland and it was a dull sauce and regular chewy spaghetti noodles. More than anything, the chubby red shrimp was so delicious that it flipped over Only the shrimp was really good. 
Iberico Pluma Steak and Wagyu Salchi Steak were also delicious. Plumastakes were a little tough and wagyu salchi steaks were very popular with younger brothers. It was a steak that captivated the taste buds of elementary school students. The spicy stir-fried chili pepper was good for catching the fat of the meat, and the flesh steak sauce was sweet and went well with the meat. House wine was just a cost-effective wine
It was my youngest sister's birthday and she lit a candle on the tiramisu and congratulated me, so I was able to make good memories for her Thank you.
The younger members liked regular tiramisu, and for my taste, tiramisu that tasted like fresh lemon whipped cream cake was perfect for dessert My mouth felt refreshed. I don't think I'm going to revisit, but I'm going to stay in a nice and nice place 
Thank you.",2022-11-05 18:42:29,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182523737_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182523858_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524033_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182523946_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524122_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524237_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524342_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524611_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524494_rv.jpg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/22115182524727_rv.jpg",앤쮸
2615247,5.0,"I strongly recommend course food!! The food quality is very good! The salad is so fresh, especially the signature red shrimp pasta!! The view is the art^^",2024-04-10 12:06:32,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/1eb3657599664f53891c2bee0bd30c58, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/d1025907f1984c048847652abdb9d6db, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/a9c8f045df65497b8fc963911a120788",mmuu
2582100,5.0,"The fried hanchi and vegetables that I ordered as appetizers were incredibly delicious, and the red shrimp capellini and lemon butter papadelle were also very delicious",2024-03-28 19:19:41,"https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/7c7fc67e7a414d1790e15996d0b9ed69, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/995c7e86316e4e2881b440afce37060d, https://ugc-images.catchtable.co.kr/rv/sGH-fb5s4R_O3VqK2Cu8qFw/a81d855bcf8947479cf9f405bd708f61",깜찍한 기요미
1325918,4.3,"My friend praised lemon pasta and it was so good
I will definitely visit again",2022-12-22 00:26:19,"https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221222002524654(0).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221222002524656(1).jpeg, https://image.toast.com/aaaaaqx/rv/sGH-fb5s4R_O3VqK2Cu8qFw/221222002524656(2).jpeg",헤일이
